country,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,0,151,0,0,0,0,0,0,107,74,0,0,0,0,0,0,100,161,0,0,0,101,0,120,0,0,0,500,12,1,0,0,70,0,61,246,1500,614,301,160,381,130,229,7350,205,634,507,4180,150,97,771,408,336,1350,140,520,159,429,228,575,481,192,241,189,211,328,396,28
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,126,0,0,0,59,26,766,70,58,27,0,300,367,0,0,129,216,294,360,58,40,447,20,2440,625,421,210,25,147,16,25,26,459,113,11,27,71,33,22,
Albania,,,,,,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,60,90,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,35,0,0,1,0,0,125,0,0,0,0,0,60,11,0,0,4,7,0,0,0,0,0,7,0,18,5,0,0,38,0,14,0,18,0,0,1,2,7,0,51,0,0,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,12,0,14,29,0,43,0,0,0,11,0,11,0,0,22,15,10,0,0,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10k,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,45,62,56,73,0,61,0,100,60,100,20,0,70,58,0,41,45,0,0,30,122,4,1,47,0,76,0,136,98,24,72,0,0,19,94,48,65,58,52,213,54,12,19,31,29,57,48,107,92,56,72,0,77,2,14,3,15,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,65,5,0,0,4,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,0,0,18,71,10,0,27,0,49,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,662,12,0,13,30,0,12,90,13,0,86,12,15,0,21,1,75,36,38,15,0,17,98,84,39,2,18,59,9,48,21,20,20,182,6,2,6,6,31,4,22,8,560,84,11,79,22,141,16,8,12,0,35,1,7,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,12,0,42,12,0,0,0,11,3,18,0,0,0,6,0,3,11,83,168,0,12,345,0,4,0,5,16,3,0,0,5,4,0,70,0,5,0,12,0,1,
Azerbaijan,,,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,32,391,0,77,1,1,52,0,42,0,0,23,0,25,0,0,3,0,5,0,0,44,0,0,25,0,0,14,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0,0,0,0,0,0,0,0,0,0,112,0,0,220,0,0,0,0,21,0,86,308,12,128,166,3,168,22,17,9,44,9,24,0,0,96,63,41,6,0,61,5,38,
Belgium,,18,0,0,15,16,6,0,18,0,0,0,0,0,0,0,0,20,0,0,12,21,10,10,24,0,0,26,0,58,85,17,17,25,56,10,26,26,0,41,45,37,250,0,0,0,16,17,0,0,38,0,10,65,32,39,266,0,20,0,0,97,28,12,17,15,10,365,0,47,1,61,0,0,40,0,25,20,0,0,0,0,14,2,0,39,0,193,0,12,29,0,0,9,15,22,10,11,1,2,0,0,7,1190,23,2,940,2,1,0,36,5,3,11,0,410,2,0,1,716,1460,43,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,61,0,65,0,228,0,3,0,0,0,20,76,47,78,12,402,404,65,142,0,4,54,20,53,60,71,15,21,28,0,0,39,0,0,13,6,9,
Burkina Faso,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,241,0,1090,0,237,0,0,0,0,16,0,0,37,0,0,22,0,4140,2270,26,6,0,2980,0,1080,599,9,855,1540,658,439,857,36,53,16,0,23,54,20,0,0,13,11,
Bangladesh,,,,,0,0,0,0,0,172,0,0,0,0,0,0,0,0,393k,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,61k,1.9M,0,0,0,500,0,0,0,200,0,0,0,0,0,0,500,0,18.1k,11.3k,0,22.1k,300,48.9k,889,91,339,849,300k,163,250,2330,31.5k,0,215,907,1180,341,666,1090,2740,1450,2400,16.6k,2560,3820,4300,1950,1380,143k,510,754,730,2560,1140,802,1670,767,680,703,1340,1710,1520,997,384,5790,121,563,370,165,764,1190,320,300,271,494,102,402,372,573,
